Year,State,Water Body,Forest,Industrial,Infrastructure and Utilities,Social Institutions and Facilities,Commercial,Beach,Mixed Development,Transport,Farming,Residential,Empty Land,Recreational Space
2020,Kelantan,26392.44,876766.71,1457.58,1483.28,7954.39,1319.88,487.12,0,14741.57,409342.26,25973.07,28535.5,1509.97
2020,Melaka,5095.35,89804.16,1601.87,1485.24,3488,1683.61,1480.58,0,8578.96,102342.83,8697.14,7157.08,1156.24
2020,Negeri Sembilan,9522.64,148704.98,5008.89,4794.71,20806.58,2812.04,840.49,0,21285.35,335095.36,17976.44,14564.48,3022.68
2020,Pahang,46805.27,2126107.8,12863.04,4861.37,13169.28,10965.4,796.87,0,33650.58,1192236.58,44590.31,29247.41,4717.53
2020,Pulau Pinang,11795.51,88285.64,4491.71,1540.89,4108.82,3031.22,29.44,0,9926.05,161949.19,15303.78,7606.55,1288.34
2020,Perak,48801.97,543749.29,8892.8,8323.89,13710.72,3808.21,4.92,0,43744.39,702998.08,36739.62,36230.49,4048.15
2020,Perlis,23452.37,524007.54,4159.45,188.77,783.35,106.22,0,0,2673.16,97658.29,4073.66,1004.08,98.23
2020,Selangor,22934.72,271559.72,21657.64,11804.4,16417.04,9664.78,492.66,0,53069.31,313496.18,50564.79,33610.5,12984.18
2020,Terengganu,82642.64,721249.88,5752.01,3255.8,12312.32,2850.63,1094.29,0,26168.51,399126.84,22285.82,26412.25,7993.58
2020,Kuala Lumpur,500.18,12889.26,147.55,199.93,883.04,262.68,321.68,0,1376.01,14349.62,2380.49,6172.3,257.68
2020,Putrajaya,817.43,84.9,472,655.67,3432.4,2788.35,0,0,6167.39,0,6111.18,2032.4,1721.9
2020,Malaysia,355811.03,6227471.03,88199.36,56956.31,131391.34,51224.31,7985.48,0,299850.38,5349384.87,310940.36,248864.81,48180.73
2021,Johor,53995.79,476661.58,16256.32,9834.15,23386.91,7650.29,1473.37,0,63029.92,1176150.75,33611.82,39852.47,6825.75
2021,Kedah,21873.83,348883.34,6297.13,8704.58,9495.83,4576.04,1114.36,0,21213.45,436424.89,43353.27,18350.77,2223.25
2021,Kelantan,25755.9,878034.26,1486.78,2284.45,7653.36,1461.08,652,0,14734.17,406989.97,28161.23,27735.32,1014.55
2021,Melaka,5010.4,104520.05,1625.68,1602.95,3491.91,1694.22,1116.37,0,7937.62,87053.02,10220.14,7112.64,1186.03
2021,Negeri Sembilan,9513,148620.73,5099.64,5039.59,20817.48,2893.81,840.4,0,21597.44,334754.29,18237.19,13975.73,3045.31
2021,Pahang,43074.49,2124731.12,13100.72,5076.92,13507.63,10440.87,795.27,0,33711.9,1197786.61,44982.04,28094.07,4705.74
2021,Pulau Pinang,11548.14,81392.69,4677.42,1704.93,4071.25,3095.58,226.98,0,10042.65,167860.86,15241.72,8111.5,1383.5
2021,Perak,76590.55,1051616.58,13459.43,8832.52,14087.37,3743.84,109.31,0,41284.94,726061.09,40672.64,36228.53,3858.98
2021,Perlis,11920.71,1283.32,137.53,35.44,553.07,62,0,0,3711.85,74050.02,665.22,165.24,128.05
2021,Selangor,20732.74,273092.65,18449.21,12427.05,15547.15,7989.46,787.26,0,56391.2,310484.95,43603.62,45243.92,13532.25
2021,Terengganu,78785.46,699987.21,7319.87,4441.7,12130.29,3210.49,1534.53,0,25836.1,418651.5,27278.62,24134.08,7817.56
2021,Kuala Lumpur,251.66,11024.04,156.74,199.84,873.97,161.16,238.87,0,1407.68,17051.05,2456.96,5658.43,260.03
2021,Putrajaya,815.2,84.53,471.98,652.26,3422.76,2125.49,0,0,6130.4,0,6534.51,2169.61,1877.08
2021,Malaysia,359867.87,6199932.1,88538.45,60836.38,129038.98,49104.33,8888.72,0,307029.32,5353319,315018.98,256832.31,47858.08
