adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,tree_cover_loss_per_state_area
Johor,2001,43703.09263612312,2.2878804646698314
Kedah,2001,3599.6782224097633,0.38103929526937264
Kelantan,2001,10556.833875150804,0.6990817743957886
Kuala Lumpur,2001,35.87566603065025,0.14763648572284055
Labuan,2001,24.362693793863404,0.26481188906373265
Melaka,2001,3592.757093964015,2.1747924297602994
Negeri Sembilan,2001,22431.746525526323,3.3550323849127017
Pahang,2001,47472.96823747977,1.3245805869832525
Perak,2001,16245.218231573452,0.7721845342510435
Perlis,2001,258.0248934457458,0.3154338550681489
Pulau Pinang,2001,132.5958448670674,0.1284843458014219
Putrajaya,2001,60.62350345127536,1.2372143561484767
Sabah,2001,63040.5642682012,0.8530061196714819
Sarawak,2001,100293.92176427173,0.805890846712937
Selangor,2001,11218.651599617397,1.4145317866117006
Terengganu,2001,10139.043089369568,0.7823939416135172
Johor,2002,35358.815277323825,1.8510530456142722
Kedah,2002,9893.073952500461,1.047218582883504
Kelantan,2002,9120.145482154436,0.6039431482785534
Kuala Lumpur,2002,118.68767411992133,0.48842664246881207
Labuan,2002,23.059884170981444,0.2506509149019722
Melaka,2002,2813.678699054384,1.7031953384106444
Negeri Sembilan,2002,24927.411170673568,3.728299606741485
Pahang,2002,58055.85382309074,1.619861992831773
Perak,2002,20779.319407736497,0.9877041262352171
Perlis,2002,172.76282336401604,0.21120149555503182
Pulau Pinang,2002,436.6617892669557,0.4231218888245694
Putrajaya,2002,48.560290253919746,0.9910263317126479
Sabah,2002,59777.96454265764,0.8088596631123842
Sarawak,2002,73916.77714459228,0.593942813995808
Selangor,2002,7332.400445887633,0.9245240758905099
Terengganu,2002,10065.967220864468,0.7767549364043883
Johor,2003,13478.018272631072,0.7055815240619345
Kedah,2003,4456.3593835606425,0.4717221746121142
Kelantan,2003,5576.583349555707,0.36928569959312013
Kuala Lumpur,2003,48.32025133355076,0.19884877091996198
Labuan,2003,17.849523468021925,0.1940165594350209
Melaka,2003,1271.5670916235242,0.7697137358495909
Negeri Sembilan,2003,7334.268528293718,1.0969590978602628
Pahang,2003,26962.557349819137,0.7523034974837929
Perak,2003,9509.63390212086,0.45202176547774786
Perlis,2003,55.49421560399088,0.067841339369182
Pulau Pinang,2003,194.50019443664635,0.18846918065566506
Putrajaya,2003,24.20317695185372,0.49394238677252494
Sabah,2003,33046.85956530124,0.4471592818426775
Sarawak,2003,73946.12712292615,0.5941786496125073
Selangor,2003,3749.366099433279,0.47274821579035164
Terengganu,2003,4385.9829080550235,0.3384507221278666
Johor,2004,40586.17737374125,2.1247082700105357
Kedah,2004,7109.812773118311,0.7526000606666996
Kelantan,2004,13804.064074399428,0.9141158912919296
Kuala Lumpur,2004,169.54335587530528,0.6977092834374703
Labuan,2004,11.108329856837836,0.12074271583519386
Melaka,2004,1266.573032899756,0.7666906978812082
Negeri Sembilan,2004,8937.31330630522,1.3367205064769996
Pahang,2004,45057.42318952411,1.2571825666719896
Perak,2004,14547.806194910316,0.6915013877227072
Perlis,2004,111.75926872234864,0.13662502288795678
Pulau Pinang,2004,416.5134553385181,0.40359830943654856
Putrajaya,2004,50.097452318090575,1.0223969860834812
Sabah,2004,86716.60447284354,1.1733682138022778
Sarawak,2004,109132.0447408156,0.8769077367061382
Selangor,2004,8331.507045097342,1.050498933942421
Terengganu,2004,15755.606179037772,1.2158041653706129
Johor,2005,44009.23438427817,2.30390715026061
Kedah,2005,7568.964334849496,0.8012029570074621
Kelantan,2005,12529.608234352949,0.829720431385534
Kuala Lumpur,2005,81.7359485626646,0.3363619282414181
Labuan,2005,26.660616037326943,0.2897893047535537
Melaka,2005,3809.6788934552687,2.306101025093988
Negeri Sembilan,2005,12717.352409001744,1.9020868096024146
Pahang,2005,61428.69079312424,1.7139701672188683
Perak,2005,19635.353424096607,0.9333279505702351
Perlis,2005,222.6770321712391,0.27222131072278616
Pulau Pinang,2005,514.7100434770432,0.4987500421289179
Putrajaya,2005,31.6565322988973,0.6460516795693326
Sabah,2005,73026.27721215063,0.9881234738600161
Sarawak,2005,121972.75393945338,0.9800865717387034
Selangor,2005,8142.42518671589,1.0266580742297176
Terengganu,2005,10040.612958456411,0.7747984380319787
Johor,2006,36498.98138823858,1.9107413563102595
Kedah,2006,8193.921338216467,0.8673569745121698
Kelantan,2006,11407.487683522859,0.7554127331648803
Kuala Lumpur,2006,76.66522467245461,0.31549475173849634
Labuan,2006,22.29323646547961,0.24231778766825662
Melaka,2006,1801.9607298830545,1.0907752602197667
Negeri Sembilan,2006,7496.807767873678,1.1212694836783843
Pahang,2006,44941.41919345537,1.2539458480316787
Perak,2006,12108.16954239195,0.5755380522099035
Perlis,2006,79.65168169169272,0.09737369399962435
Pulau Pinang,2006,597.6478231943602,0.579116107746473
Putrajaya,2006,5.148041153189697,0.10506206435081014
Sabah,2006,81770.39927989242,1.106440778305537
Sarawak,2006,114173.93569630952,0.9174207977140362
Selangor,2006,4763.10080547924,0.6005674953321448
Terengganu,2006,10588.778189673276,0.8170984018576491
Johor,2007,39197.52209831363,2.0520114175643194
Kedah,2007,6068.662984671394,0.6423904927142366
Kelantan,2007,25134.163573908503,1.6644039185423813
Kuala Lumpur,2007,57.15407547569592,0.23520195669010668
Labuan,2007,40.909455329921336,0.4446679927165363
Melaka,2007,3366.0400978751595,2.037554538665351
Negeri Sembilan,2007,10171.640677092628,1.5213342322902523
Pahang,2007,43996.97816839186,1.2275942569305764
Perak,2007,19920.950200106843,0.9469032322514899
Perlis,2007,82.94445646070801,0.10139909102776042
Pulau Pinang,2007,335.00128706338967,0.32461365025522254
Putrajaya,2007,29.889566700559183,0.609991157154269
Sabah,2007,62738.64600805874,0.8489208433651594
Sarawak,2007,175583.19727970782,1.410862084512843
Selangor,2007,9556.369704559384,1.2049388103088368
Terengganu,2007,9411.723394903034,0.7262692642104355
Johor,2008,18469.39637895861,0.9668828593319343
Kedah,2008,9888.070253916883,1.0466889228238472
Kelantan,2008,12747.703170182636,0.8441628481678456
Kuala Lumpur,2008,49.471121593843925,0.20358486252610666
Labuan,2008,39.224874022323135,0.42635732632959933
Melaka,2008,2011.3666856635075,1.2175343133556342
Negeri Sembilan,2008,8383.237046925135,1.2538493937967596
Pahang,2008,34052.79841485593,0.9501338843430785
Perak,2008,16776.152994951204,0.797421475185436
Perlis,2008,109.69258186471788,0.13409851083706342
Pulau Pinang,2008,337.60414775326046,0.3271358020864927
Putrajaya,2008,7.376316703036701,0.15053707557217758
Sabah,2008,84258.08869100915,1.140101871224956
Sarawak,2008,163494.4199689893,1.3137252410104323
Selangor,2008,6365.989823521063,0.8026717719734036
Terengganu,2008,11269.243917003374,0.8696075250407727
Johor,2009,46559.94958005036,2.4374384661318373
Kedah,2009,8277.429124270004,0.8761965834942314
Kelantan,2009,33123.120683694426,2.1934388903843733
Kuala Lumpur,2009,76.20674291991028,0.31360799555518637
Labuan,2009,36.62069043160809,0.3980509829522618
Melaka,2009,3296.612496723438,1.995528145716367
Negeri Sembilan,2009,17249.406427967173,2.5799291696032265
Pahang,2009,55335.481205603275,1.543958738995627
Perak,2009,29618.1609544978,1.4078410948996005
Perlis,2009,241.86794187131093,0.29568208052727496
Pulau Pinang,2009,717.996111794052,0.6957326664671046
Putrajaya,2009,51.40330140449056,1.049046967438583
Sabah,2009,92081.39019558563,1.2459594906308946
Sarawak,2009,306669.6108764344,2.4641795636550485
Selangor,2009,14311.36104168092,1.8044838030110855
Terengganu,2009,15446.120052866332,1.1919222202998945
Johor,2010,28245.031847770635,1.4786426472500593
Kedah,2010,13061.43323271816,1.3826011678541505
Kelantan,2010,30615.786889573053,2.027401290614731
Kuala Lumpur,2010,77.8940100881216,0.32055148184412185
Labuan,2010,26.20114504226482,0.28479505480722633
Melaka,2010,518.110536543236,0.3136262327743559
Negeri Sembilan,2010,5519.896560388126,0.8255902722686399
Pahang,2010,56967.97292136036,1.589508173029028
Perak,2010,27184.18771156664,1.292146958435528
Perlis,2010,170.08786725086827,0.2079313780572962
Pulau Pinang,2010,944.2274447958248,0.9149490744145589
Putrajaya,2010,43.87384496761257,0.8953845911757667
Sabah,2010,104183.63401220148,1.4097157665647528
Sarawak,2010,136600.5257517368,1.0976249749036713
Selangor,2010,9737.46741369449,1.2277729685656904
Terengganu,2010,17054.364531279123,1.316024734260292
Johor,2011,57621.21180168162,3.0165015077835626
Kedah,2011,7693.211260893662,0.8143549551067707
Kelantan,2011,22859.98379036292,1.5138059592320323
Kuala Lumpur,2011,33.646900760110526,0.1384646121815248
Labuan,2011,54.62301652497208,0.593728440488827
Melaka,2011,3157.072573656259,1.9110608799372029
Negeri Sembilan,2011,15887.771494614304,2.3762745280607693
Pahang,2011,57724.44447828233,1.6106150803092165
Perak,2011,21466.061449923865,1.020347060078138
Perlis,2011,396.37485115724087,0.4845658327105634
Pulau Pinang,2011,579.7109252053604,0.561735392640853
Putrajaya,2011,19.67029217741022,0.4014345342328617
Sabah,2011,68464.32333285327,0.9263953687601925
Sarawak,2011,191238.67188207727,1.5366583786556738
Selangor,2011,3685.9214601425106,0.46474863953379275
Terengganu,2011,12267.491835652809,0.9466387711746901
Johor,2012,38805.24385942988,2.0314754402381885
Kedah,2012,8920.884357410408,0.9443087072520809
Kelantan,2012,35189.783508013075,2.330294914774722
Kuala Lumpur,2012,53.00795326284638,0.21813972536150772
Labuan,2012,119.36042617985008,1.297395936737501
Melaka,2012,2548.3818858200934,1.5426040471065943
