Name,English Name,Operator,Output,Source,Latitude,Longitude
District Cooling Centre 2,District Cooling Centre 2,,26 MW,gas,3.1578703,101.7157556
Stesen Janakuasa Limbang,Limbang Power Station,Sarawak Energy,22 MW,diesel,4.7875526,114.9939447
PLB Solar Plant,PLB Solar Plant,PLB Green Solar Sdn Bhd,20 MW,solar,5.1986382,100.4309989
Sg Kenerong Small Hydro Power Station,,Musteq Hydro Sdn Bhd,20 MW,hydro,5.2973402,101.9644885
Stesen Janakuasa Hulu Sungai Piah,Hulu Sungai Piah hydro power station,Tenaga Nasional,14.6 MW,hydro,5.0899247,101.2901325
Stesen Janakuasa Lawas,Lawas Power Station,Sarawak Energy,13.5 MW,oil,4.8648867,115.4313286
WD Solar Sdn Bhd,,,12.995 MW,solar,2.8163925,101.6685684
Stesen Janakuasa Kota 2,Kota 2 Hydropower Station,Sarawak Energy,11.1 MW,hydro,4.7845104,115.5266094
LSS Bukit Kalam,,,10 MW,solar,5.3178931,115.2094509
LSS Ayer Keroh,,Gading Kencana Development Sdn Bhd,8 MW,solar,2.2933199,102.3439322
Cenergi Rooftop Solar (3 MW),,,3 MW,solar,6.4866879,100.4230225
Stesen Mini Hidro Sungai Tersat,Sungai Tersat Mini Hydro Station,,4 MW,hydro,5.2875857,100.2254305
Stesen Mini Hidro Sungai Rek,Sungai Rek Mini Hydro Station,TNB,3.2 MW,hydro,5.2875857,100.2254305
3.0MWp Rooftop Solar,,Cenergi,3 MW,solar,6.4866879,100.4230225
Kuala Penyu Solar Power Plant,,,1.7 MW,solar,6.3585796,116.4301752
Keningau Solar Power Plant,,,1 MW,solar,5.3178931,115.2094509
Papar Solar Power Plant,,,1 MW,solar,5.3178931,115.2094509
EFFI - Amcorp Solar Power Plant,,,102 kW,solar,2.5964221,102.6214321
Stesen Janakuasa Sandakan,,,36MW,oil,2.58639,101.7225
Petronas Centralized Unit Facilities Gebeng-Kerteh,,,324,gas,3.98972,103.37111
