year,code,level,name,parent,value
2017p,1.4.5,3,Others,Other agriculture,793
2010,1.5,2,Forestry and logging,Agriculture,8493
2011,1.5,2,Forestry and logging,Agriculture,7920
2012,1.5,2,Forestry and logging,Agriculture,7596
2013,1.5,2,Forestry and logging,Agriculture,7015
2014,1.5,2,Forestry and logging,Agriculture,7199
2015,1.5,2,Forestry and logging,Agriculture,6629
2016e,1.5,2,Forestry and logging,Agriculture,6433
2017p,1.5,2,Forestry and logging,Agriculture,5421
2010,1.6,2,Fishing,Agriculture,9036
2011,1.6,2,Fishing,Agriculture,9192
2012,1.6,2,Fishing,Agriculture,9601
2013,1.6,2,Fishing,Agriculture,9770
2014,1.6,2,Fishing,Agriculture,9969
2015,1.6,2,Fishing,Agriculture,10036
2016e,1.6,2,Fishing,Agriculture,10253
2017p,1.6,2,Fishing,Agriculture,10040
2010,1.6.1,3,Marine fishing,Fishing,5997
2011,1.6.1,3,Marine fishing,Fishing,6161
2012,1.6.1,3,Marine fishing,Fishing,6356
2013,1.6.1,3,Marine fishing,Fishing,6541
2014,1.6.1,3,Marine fishing,Fishing,6639
2015,1.6.1,3,Marine fishing,Fishing,6703
2016e,1.6.1,3,Marine fishing,Fishing,7016
2017p,1.6.1,3,Marine fishing,Fishing,6652
2010,1.6.2,3,Aquaculture,Fishing,3039
2011,1.6.2,3,Aquaculture,Fishing,3032
2012,1.6.2,3,Aquaculture,Fishing,3246
2013,1.6.2,3,Aquaculture,Fishing,3228
2014,1.6.2,3,Aquaculture,Fishing,3331
2015,1.6.2,3,Aquaculture,Fishing,3333
2016e,1.6.2,3,Aquaculture,Fishing,3237
2017p,1.6.2,3,Aquaculture,Fishing,3388
2010,2,1,Mining and quarrying,GDP,89793
2011,2,1,Mining and quarrying,GDP,85373
2012,2,1,Mining and quarrying,GDP,86751
2013,2,1,Mining and quarrying,GDP,87789
2014,2,1,Mining and quarrying,GDP,90707
2015,2,1,Mining and quarrying,GDP,95508
2016e,2,1,Mining and quarrying,GDP,97468
2017p,2,1,Mining and quarrying,GDP,98436
2010,2.1,2,Crude oil and condensate,Mining and quarrying,46171
2011,2.1,2,Crude oil and condensate,Mining and quarrying,41166
2012,2.1,2,Crude oil and condensate,Mining and quarrying,42134
2013,2.1,2,Crude oil and condensate,Mining and quarrying,40978
2014,2.1,2,Crude oil and condensate,Mining and quarrying,42997
2015,2.1,2,Crude oil and condensate,Mining and quarrying,47481
2016e,2.1,2,Crude oil and condensate,Mining and quarrying,47744
2017p,2.1,2,Crude oil and condensate,Mining and quarrying,46474
2010,2.2,2,Natural gas,Mining and quarrying,39969
2011,2.2,2,Natural gas,Mining and quarrying,40362
2012,2.2,2,Natural gas,Mining and quarrying,40099
2013,2.2,2,Natural gas,Mining and quarrying,41848
2014,2.2,2,Natural gas,Mining and quarrying,42243
2015,2.2,2,Natural gas,Mining and quarrying,41810
2016e,2.2,2,Natural gas,Mining and quarrying,43064
2017p,2.2,2,Natural gas,Mining and quarrying,44804
2010,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,3653
2011,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,3844
2012,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,4519
2013,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,4963
2014,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,5467
2015,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,6217
2016e,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,6660
2017p,2.3,2,Other mining & quarrying and supporting services,Mining and quarrying,7158
2010,3,1,Manufacturing,GDP,192493
2011,3,1,Manufacturing,GDP,202960
2012,3,1,Manufacturing,GDP,211921
2013,3,1,Manufacturing,GDP,219152
2014,3,1,Manufacturing,GDP,232527
2015,3,1,Manufacturing,GDP,243703
2016e,3,1,Manufacturing,GDP,254472
2017p,3,1,Manufacturing,GDP,269804
2010,3.1,2,Vegetable and animal oils & fats,Manufacturing,9012
2011,3.1,2,Vegetable and animal oils & fats,Manufacturing,10041
2012,3.1,2,Vegetable and animal oils & fats,Manufacturing,9722
2013,3.1,2,Vegetable and animal oils & fats,Manufacturing,10338
2014,3.1,2,Vegetable and animal oils & fats,Manufacturing,10972
2015,3.1,2,Vegetable and animal oils & fats,Manufacturing,10614
2016e,3.1,2,Vegetable and animal oils & fats,Manufacturing,10098
2017p,3.1,2,Vegetable and animal oils & fats,Manufacturing,11866
2010,3.2,2,Food processing,Manufacturing,8379
2011,3.2,2,Food processing,Manufacturing,8814
2012,3.2,2,Food processing,Manufacturing,9834
2013,3.2,2,Food processing,Manufacturing,10080
2014,3.2,2,Food processing,Manufacturing,10618
2015,3.2,2,Food processing,Manufacturing,10857
2016e,3.2,2,Food processing,Manufacturing,11810
2017p,3.2,2,Food processing,Manufacturing,12249
2010,3.3,2,Beverages,Manufacturing,3725
2011,3.3,2,Beverages,Manufacturing,4045
2012,3.3,2,Beverages,Manufacturing,3937
2013,3.3,2,Beverages,Manufacturing,3898
2014,3.3,2,Beverages,Manufacturing,4564
2015,3.3,2,Beverages,Manufacturing,5004
2016e,3.3,2,Beverages,Manufacturing,5471
2017p,3.3,2,Beverages,Manufacturing,5960
2010,3.4,2,Tobacco products,Manufacturing,3063
2011,3.4,2,Tobacco products,Manufacturing,3263
2012,3.4,2,Tobacco products,Manufacturing,3500
2013,3.4,2,Tobacco products,Manufacturing,3075
2014,3.4,2,Tobacco products,Manufacturing,3187
2015,3.4,2,Tobacco products,Manufacturing,3423
2016e,3.4,2,Tobacco products,Manufacturing,3515
2017p,3.4,2,Tobacco products,Manufacturing,3585
2010,3.5,2,Textile and wearing apparel,Manufacturing,3058
2011,3.5,2,Textile and wearing apparel,Manufacturing,3416
2012,3.5,2,Textile and wearing apparel,Manufacturing,3116
2013,3.5,2,Textile and wearing apparel,Manufacturing,3165
2014,3.5,2,Textile and wearing apparel,Manufacturing,3508
2015,3.5,2,Textile and wearing apparel,Manufacturing,3728
2016e,3.5,2,Textile and wearing apparel,Manufacturing,3949
2017p,3.5,2,Textile and wearing apparel,Manufacturing,4275
2010,3.6,2,Leather and related products,Manufacturing,259
2011,3.6,2,Leather and related products,Manufacturing,314
2012,3.6,2,Leather and related products,Manufacturing,329
2013,3.6,2,Leather and related products,Manufacturing,346
2014,3.6,2,Leather and related products,Manufacturing,376
2015,3.6,2,Leather and related products,Manufacturing,403
2016e,3.6,2,Leather and related products,Manufacturing,431
2017p,3.6,2,Leather and related products,Manufacturing,455
2010,3.7,2,Wood products,Manufacturing,4696
2011,3.7,2,Wood products,Manufacturing,4504
2012,3.7,2,Wood products,Manufacturing,4591
2013,3.7,2,Wood products,Manufacturing,4709
2014,3.7,2,Wood products,Manufacturing,5180
2015,3.7,2,Wood products,Manufacturing,5511
2016e,3.7,2,Wood products,Manufacturing,5798
2017p,3.7,2,Wood products,Manufacturing,6040
2010,3.8,2,Paper and paper products,Manufacturing,2463
2011,3.8,2,Paper and paper products,Manufacturing,2588
2012,3.8,2,Paper and paper products,Manufacturing,2726
2013,3.8,2,Paper and paper products,Manufacturing,2728
2014,3.8,2,Paper and paper products,Manufacturing,2717
2015,3.8,2,Paper and paper products,Manufacturing,2751
2016e,3.8,2,Paper and paper products,Manufacturing,2865
2017p,3.8,2,Paper and paper products,Manufacturing,2993
2010,3.9,2,Printing and reproduction of recorded media,Manufacturing,2284
2011,3.9,2,Printing and reproduction of recorded media,Manufacturing,2443
2012,3.9,2,Printing and reproduction of recorded media,Manufacturing,2484
2013,3.9,2,Printing and reproduction of recorded media,Manufacturing,2526
2014,3.9,2,Printing and reproduction of recorded media,Manufacturing,2839
2015,3.9,2,Printing and reproduction of recorded media,Manufacturing,3099
2016e,3.9,2,Printing and reproduction of recorded media,Manufacturing,3316
2017p,3.9,2,Printing and reproduction of recorded media,Manufacturing,3494
2010,3.10,2,Refined petroleum products,Manufacturing,28022
2011,3.10,2,Refined petroleum products,Manufacturing,29855
2012,3.10,2,Refined petroleum products,Manufacturing,31033
2013,3.10,2,Refined petroleum products,Manufacturing,29926
2014,3.10,2,Refined petroleum products,Manufacturing,30085
2015,3.10,2,Refined petroleum products,Manufacturing,30453
2016e,3.10,2,Refined petroleum products,Manufacturing,31482
2017p,3.10,2,Refined petroleum products,Manufacturing,32580
2010,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,21043
2011,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,22011
2012,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,23432
2013,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,23384
2014,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,24086
2015,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,25348
2016e,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,26836
2017p,3.11,2,Chemicals & chemical products and pharmaceutical products,Manufacturing,28053
2010,3.12,2,Rubber products,Manufacturing,5645
2011,3.12,2,Rubber products,Manufacturing,6366
2012,3.12,2,Rubber products,Manufacturing,6513
2013,3.12,2,Rubber products,Manufacturing,7080
2014,3.12,2,Rubber products,Manufacturing,6866
2015,3.12,2,Rubber products,Manufacturing,7117
2016e,3.12,2,Rubber products,Manufacturing,7327
2017p,3.12,2,Rubber products,Manufacturing,7781
2010,3.13,2,Plastics products,Manufacturing,5871
2011,3.13,2,Plastics products,Manufacturing,7167
2012,3.13,2,Plastics products,Manufacturing,8093
2013,3.13,2,Plastics products,Manufacturing,8969
2014,3.13,2,Plastics products,Manufacturing,9465
2015,3.13,2,Plastics products,Manufacturing,9573
2016e,3.13,2,Plastics products,Manufacturing,10095
2017p,3.13,2,Plastics products,Manufacturing,10403
2010,3.14,2,Non-metallic mineral products,Manufacturing,6908
2011,3.14,2,Non-metallic mineral products,Manufacturing,8480
2012,3.14,2,Non-metallic mineral products,Manufacturing,8870
2013,3.14,2,Non-metallic mineral products,Manufacturing,8430
2014,3.14,2,Non-metallic mineral products,Manufacturing,9017
2015,3.14,2,Non-metallic mineral products,Manufacturing,9625
2016e,3.14,2,Non-metallic mineral products,Manufacturing,10153
2017p,3.14,2,Non-metallic mineral products,Manufacturing,10682
2010,3.15,2,Basic metals,Manufacturing,6407
2011,3.15,2,Basic metals,Manufacturing,6724
2012,3.15,2,Basic metals,Manufacturing,6236
2013,3.15,2,Basic metals,Manufacturing,6416
2014,3.15,2,Basic metals,Manufacturing,6549
2015,3.15,2,Basic metals,Manufacturing,6634
2016e,3.15,2,Basic metals,Manufacturing,6783
2017p,3.15,2,Basic metals,Manufacturing,7062
2010,3.16,2,Fabricated metal products,Manufacturing,8535
2011,3.16,2,Fabricated metal products,Manufacturing,10480
2012,3.16,2,Fabricated metal products,Manufacturing,12064
2013,3.16,2,Fabricated metal products,Manufacturing,13357
2014,3.16,2,Fabricated metal products,Manufacturing,13713
2015,3.16,2,Fabricated metal products,Manufacturing,14265
2016e,3.16,2,Fabricated metal products,Manufacturing,15027
2017p,3.16,2,Fabricated metal products,Manufacturing,15700
2010,3.17,2,Machinery and equipment,Manufacturing,5653
2011,3.17,2,Machinery and equipment,Manufacturing,6229
2012,3.17,2,Machinery and equipment,Manufacturing,6418
2013,3.17,2,Machinery and equipment,Manufacturing,6389
2014,3.17,2,Machinery and equipment,Manufacturing,6850
2015,3.17,2,Machinery and equipment,Manufacturing,7291
2016e,3.17,2,Machinery and equipment,Manufacturing,7616
2017p,3.17,2,Machinery and equipment,Manufacturing,8046
2010,3.18,2,Computers and peripheral equipment,Manufacturing,6146
2011,3.18,2,Computers and peripheral equipment,Manufacturing,4573
2012,3.18,2,Computers and peripheral equipment,Manufacturing,4278
2013,3.18,2,Computers and peripheral equipment,Manufacturing,4428
2014,3.18,2,Computers and peripheral equipment,Manufacturing,4526
2015,3.18,2,Computers and peripheral equipment,Manufacturing,4507
2016e,3.18,2,Computers and peripheral equipment,Manufacturing,4744
2017p,3.18,2,Computers and peripheral equipment,Manufacturing,4431
2010,3.19,2,Electrical equipment,Manufacturing,3406
2011,3.19,2,Electrical equipment,Manufacturing,3707
2012,3.19,2,Electrical equipment,Manufacturing,3813
2013,3.19,2,Electrical equipment,Manufacturing,3827
2014,3.19,2,Electrical equipment,Manufacturing,4047
2015,3.19,2,Electrical equipment,Manufacturing,4263
2016e,3.19,2,Electrical equipment,Manufacturing,4563
2017p,3.19,2,Electrical equipment,Manufacturing,4979
2010,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,33189
2011,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,33331
2012,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,34053
2013,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,36540
2014,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,41358
2015,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,45698
2016e,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,49239
2017p,3.20,2,"Electronic components & boards, communication equipment and consumer electronics",Manufacturing,54171
2010,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,2741
2011,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,2791
2012,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,2823
2013,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,3005
2014,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,3061
2015,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,3190
2016e,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,3431
2017p,3.21,2,"Manufacture of medical, precision & optical instrument, watches and clocks",Manufacturing,3524
2010,3.22,2,Motor vehicles and transport equipment,Manufacturing,17889
2011,3.22,2,Motor vehicles and transport equipment,Manufacturing,17630
2012,3.22,2,Motor vehicles and transport equipment,Manufacturing,19560
2013,3.22,2,Motor vehicles and transport equipment,Manufacturing,22071
2014,3.22,2,Motor vehicles and transport equipment,Manufacturing,24455
2015,3.22,2,Motor vehicles and transport equipment,Manufacturing,25617
2016e,3.22,2,Motor vehicles and transport equipment,Manufacturing,24699
2017p,3.22,2,Motor vehicles and transport equipment,Manufacturing,25965
2010,3.23,2,Furniture,Manufacturing,2573
2011,3.23,2,Furniture,Manufacturing,2641
2012,3.23,2,Furniture,Manufacturing,2839
2013,3.23,2,Furniture,Manufacturing,2642
2014,3.23,2,Furniture,Manufacturing,2720
2015,3.23,2,Furniture,Manufacturing,2842
2016e,3.23,2,Furniture,Manufacturing,3115
2017p,3.23,2,Furniture,Manufacturing,3268
2010,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,1524
2011,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,1547
2012,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,1655
2013,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,1822
2014,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,1766
2015,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,1892
2016e,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,2109
2017p,3.24,2,Other manufacturing and repair & installation of machinery and equipment,Manufacturing,2240
2010,4,1,Construction,GDP,28213
2011,4,1,Construction,GDP,29524
2012,4,1,Construction,GDP,34880
2013,4,1,Construction,GDP,38590
2014,4,1,Construction,GDP,43115
2015,4,1,Construction,GDP,46719
2016e,4,1,Construction,GDP,50197
2017p,4,1,Construction,GDP,53574
2010,4.1,2,Residential buildings,Construction,6344
2011,4.1,2,Residential buildings,Construction,7096
2012,4.1,2,Residential buildings,Construction,8599
2013,4.1,2,Residential buildings,Construction,9715
2014,4.1,2,Residential buildings,Construction,11584
2015,4.1,2,Residential buildings,Construction,12356
2016e,4.1,2,Residential buildings,Construction,13412
2017p,4.1,2,Residential buildings,Construction,13767
2010,4.2,2,Non-residential buildings,Construction,8337
2011,4.2,2,Non-residential buildings,Construction,8550
