Name,English Name,Operator,Output (MW),Source,Latitude,Longitude,source_standard,year_build
Sultan Azlan Shah Power Station (Manjung Power Station),Sultan Azlan Shah Power Station (Manjung Power Station),TNB Janamanjung,4080,coal,4.1624021,100.6466303,Non-Renewable,2002
Stesen Janakuasa Tanjung Bin,Tanjung Bin Power Station,Malakoff Corporation Berhad (MCB),3100,coal,1.3306409,103.536321,Non-Renewable,2006
Empangan Bakun,Bakun Hydropower Station,Sarawak Energy,2400,hydro,2.7633706,114.05406,Renewable,2011
Edra Melaka Power Plant,,Edra Power,2242,gas,2.3523623,102.0508919,Non-Renewable,2022
Sultan Salahuddin Abdul Aziz Power Station,Sultan Salahuddin Abdul Aziz Power Station,Kapar Energy Ventures,2200,coal;gas,3.1210943,101.3198542,Non-Renewable,1987
Jimah East Power Plant,Jimah East Power Plant,Tenaga Nasional,2000,coal,2.5931035,101.7293523,Non-Renewable,2019
Lumut Segari Power Plant,Lumut Segari Power Plant,Malakoff Corporation Berhad (MCB),1943,gas,4.3900642,100.589557,Non-Renewable,1996
Pengerang Cogeneration Power Plant,Pengerang Cogeneration Power Plant,Pengerang Power,1729,gas,1.3765697,104.1740638,Non-Renewable,2017
Southern Power Generation Sdn Bhd,Track 4A Southern Power Generation,Tenaga Nasional,1440,gas,1.445549,103.8845032,Non-Renewable,2021
Stesen Janaelektrik Tuanku Jaafar,Tuanku Jaafar Power Station,,1411,gas,2.5324088,101.791973,Non-Renewable,2005
Jimah Power Plant,,Edra Power,1400,coal,2.5928034,101.7230666,Non-Renewable,2009
Tanjung Kidurong Combined Cycle Plant,Tanjung Kidurong Combined Cycle Plant,Sarawak Energy,1324,gas,3.2908187,113.0929108,Non-Renewable,1984
Pulau Indah Power Plant,,Tenaga Nasional,1200,gas,2.8929624,101.2935789,Non-Renewable,2024
TNB Prai Power Plant,TNB Prai Power Plant,Tenaga Nasional,1071,gas,5.3747275,100.3756451,Non-Renewable,2016
Stesen Janakuasa Murum,Murum Hydropower Station,Sarawak Energy,944,hydro,2.6709411,114.2947901,Renewable,2014
Stesen Jana Kuasa Elektrik Teluk Gong 2,Telok Gong Power Station 2,Edra Power,720,gas,2.3467158,102.0507613,Non-Renewable,2001
Kuala Langat Power Plant (KLPP),,Edra Power,675,gas,2.7972595,101.6499347,Non-Renewable,2003
